,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_charts
779,We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,0,68895644,1
780,Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13,2291,0,86176890,0
781,Un Coco,Bad Bunny,1,2022,5,6,1029,28,403231558,28
782,Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,5,6,1681,7,319546754,30
783,Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,0,61739839,0
784,Aguacero,Bad Bunny,1,2022,5,6,829,0,283359161,15
785,Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,0,76831876,0
786,Un Verano Sin Ti,Bad Bunny,1,2022,5,6,1004,1,283332261,12
787,ULTRA SOLO,"Polima WestCoast, Pailita",2,2022,2,14,1367,0,307752576,4
788,Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,5,6,1112,3,279737940,25
789,El Apagï¿½,Bad Bunny,1,2022,5,6,1209,0,212351890,7
790,Callaita,"Bad Bunny, Tainy",2,2019,5,31,9539,15,1304313953,116
791,Dua Lipa,Jack Harlow,1,2022,5,6,1992,0,150500965,0
792,Agosto,Bad Bunny,1,2022,5,6,897,0,246127838,20
793,House Of Memories,Panic! At The Disco,1,2016,1,15,2948,0,582863434,2
794,Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,0,58687425,0
795,That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29,802,0,212109195,81
796,In The Stars,Benson Boone,1,2022,4,29,2224,8,382199619,40
797,Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,0,41210087,0
798,SUPERMODEL,Mï¿½ï¿½ne,1,2022,5,13,2265,0,231657891,12
799,Stefania (Kalush Orchestra),KALUSH,1,2022,3,10,555,0,53729194,4
800,Thousand Miles,The Kid Laroi,1,2022,4,22,2050,0,244741137,9
801,Crown,Kendrick Lamar,1,2022,5,13,1493,0,42485571,0
802,Auntie Diaries,Kendrick Lamar,1,2022,5,13,1545,0,37778188,0
803,PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0,254218729,42
804,Mirror,Kendrick Lamar,1,2022,5,13,1929,0,53603447,0
805,Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717,11
807,Savior - Interlude,Kendrick Lamar,1,2022,5,13,1194,0,37091576,0
808,Pasoori,"Shae Gill, Ali Sethi",2,2022,2,6,349,6,284249832,22
809,Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13,1890,0,33381454,0
810,TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,4,1,1308,2,184622518,16
811,Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26,4531,0,300983101,74
812,I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,6,1657,0,121077868,3
813,Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29,1351,0,106919680,1
814,ZOOM,Jessi,1,2022,4,13,608,0,136996305,29
815,SloMo,Chanel,1,2021,12,24,1211,0,65719930,0
816,FEARLESS,LE SSERAFIM,1,2022,5,2,629,0,229497852,75
817,10 Things I Hate About You,Leah Kate,1,2022,3,23,1301,0,185550869,1
818,SPACE MAN,Sam Ryder,1,2022,2,22,1329,0,54682594,51
819,With you,"HA SUNG WOON, Jimin",2,2022,4,24,343,2,240580042,35
820,Iris,The Goo Goo Dolls,1,1998,3,31,13101,9,1284942608,5
821,The Heart Part 5,Kendrick Lamar,1,2022,5,8,2939,0,71423324,0
822,San Lucas,Kevin Kaarl,1,2019,11,7,407,1,244891912,0
823,This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,5,6,1492,0,132171975,2
824,Good Looking,Suki Waterhouse,1,2017,10,20,2264,0,184706613,6
825,Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429,9
826,Yet To Come,BTS,1,2022,6,10,829,0,302006641,110
827,Run BTS,BTS,1,2022,6,10,736,0,330881149,132
828,Music For a Sushi Restaurant,Harry Styles,1,2022,5,20,4449,1,334733572,11
829,Matilda,Harry Styles,1,2022,5,20,3218,3,366214458,10
830,For Youth,BTS,1,2022,6,10,327,0,114546317,40
832,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6,4576,0,448500832,13
833,Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,0,136676504,0
834,Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,3983,0,190625045,45
835,Born Singer,BTS,1,2022,6,10,279,0,79095270,18
836,Little Freak,Harry Styles,1,2022,5,20,2302,0,273194684,3
837,La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20,3559,3,333146475,1
838,True Love,"Kanye West, XXXTENTACION",2,2022,5,27,2129,0,194902696,1
840,Pass The Dutchie,Musical Youth,1,1982,1,1,5328,0,195918494,76
841,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8,1401,0,248511839,16
842,Love Of My Life,Harry Styles,1,2022,5,20,1933,0,233671263,2
843,Grapejuice,Harry Styles,1,2022,5,20,1986,0,199587884,1
844,So Good,Halsey,1,2022,6,9,1057,0,91781263,14
845,Belly Dancer,"BYOR, Imanbek",2,2022,2,18,5115,13,383835984,38
846,Keep Driving,Harry Styles,1,2022,5,20,2094,1,236060709,1
847,Cinema,Harry Styles,1,2022,5,20,2171,0,189236868,1
848,Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25,896,0,160845341,0
849,Only Love Can Hurt Like This,Paloma Faith,1,2014,1,1,5148,0,588955257,22
850,Hold My Hand,Lady Gaga,1,2022,5,3,2528,0,238350348,8
851,Daydreaming,Harry Styles,1,2022,5,20,1900,1,187703102,1
853,Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2,896,0,138334433,0
854,Me and Your Mama,Childish Gambino,1,2016,11,10,8775,0,445590495,60
855,Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18,5290,0,286739476,73
856,SLOW DANCING IN THE DARK,Joji,1,2018,9,12,10211,0,1122364376,79
857,Antes de Perderte,Duki,1,2022,6,2,584,8,157136970,1
859,295,Sidhu Moose Wala,1,2021,5,15,246,4,183273246,106
861,En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13,514,0,164856284,36
862,Master of Puppets (Remastered),Metallica,1,1986,3,3,6080,0,704171068,198
863,BREAK MY SOUL,Beyoncï¿,1,2022,6,21,9724,0,354614964,61
864,ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341,0,279717388,2
865,Massive,Drake,1,2022,6,17,5263,0,195628667,89
866,Betty (Get Money),Yung Gravy,1,2022,6,10,2402,0,221752937,2
867,Ojos Marrones,Lasso,1,2022,2,6,795,11,263280370,18
868,POP!,Nayeon,1,2022,6,24,571,0,213505179,21
869,Layla,"Schï¿½ï¿½rze, DJ R",2,2022,3,24,832,3,130419412,124
870,MORE,j-hope,1,2022,7,1,565,0,155795783,52
871,Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,41231,1,1553497987,151
872,Last Last,Burna Boy,1,2022,5,12,4526,12,293466523,275
874,Sticky,Drake,1,2022,6,17,2814,0,191448892,105
875,Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,0,85924992,0
876,Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,894,4,176103902,0
877,La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0,121189256,3
878,die first,Nessa Barrett,1,2022,6,24,767,0,131746175,0
879,Afraid To Feel,LF System,1,2022,5,2,5898,5,244790012,55
880,Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2,129314708,0
881,cï¿½ï¿½mo dormi,Rels B,1,2022,8,4,1452,35,331511413,15
883,STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,0,170732845,1
885,Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5,1379,4,179061440,10
886,GIVENCHY,Duki,1,2022,7,20,625,4,185236961,18
887,ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29,2688,0,171788484,47
888,Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183,266
889,Attention,NewJeans,1,2022,8,1,799,12,264717480,141
890,THE SHADE,Rex Orange County,1,2022,3,11,1189,6,244928911,10
891,"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12,367,0,97610446,67
892,El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22,527,4,287278853,43
893,Heartless,Kanye West,1,2008,1,1,17504,34,887906111,39
894,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15,3113,0,123473120,6
896,JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18,782,9,323455692,33
897,Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16,2442,0,240918092,4
898,Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,1112,4,191873381,2
900,Forget Me,Lewis Capaldi,1,2022,9,9,2520,4,239411309,95
902,Bound 2,Kanye West,1,2013,1,1,19806,7,703301727,11
904,Talk that Talk,TWICE,1,2022,8,26,615,0,189476119,77
905,BILLIE EILISH.,Armani White,1,2022,1,20,2537,0,277132266,1
906,Ferxxo 100,Feid,1,2022,6,3,1647,30,278920007,49
907,KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10,2019,8,222410722,72
908,Prohibidox,Feid,1,2022,9,13,1473,12,185392587,36
909,Static,Steve Lacy,1,2022,7,15,1613,0,202452860,15
910,The Scientist,Coldplay,1,2002,8,5,30992,6,1608164312,25
911,Sparks,Coldplay,1,2000,7,10,10826,4,624101957,0
912,Talk,YEAT,1,2022,9,2,920,0,148461629,1
913,XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13,308,0,47093942,1
914,Selfish,PnB Rock,1,2016,6,23,2468,0,380319238,0
915,Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22,1097,2,209106362,10
916,Lady Mi Amor,Feid,1,2022,9,13,330,0,53987404,0
917,Poland,Lil Yachty,1,2022,6,23,1584,0,115331792,0
918,THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7,1585,5,225093344,65
919,Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,0,84697729,0
920,BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,836,0,159240673,1
921,Nxde,(G)I-DLE,1,2022,10,17,430,6,170709584,116
922,Miss You,Southstar,1,1982,5,16,2020,0,154356956,10
923,we fell in love in october,girl in red,1,2018,11,21,6858,0,723043854,21
924,2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,3682,6,247689123,0
925,Celestial,Ed Sheeran,1,2022,9,29,1639,0,176474912,14
926,Typa Girl,BLACKPINK,1,2022,9,16,452,10,235549288,129
928,California Breeze,Lil Baby,1,2022,10,14,991,0,85559365,38
929,Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,9,22,869,7,146223492,12
930,Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1,648,4,187701588,0
931,Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,0,154863153,7
932,Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,1930,0,191333656,8
933,Vigilante Shit,Taylor Swift,1,2022,10,21,1948,0,253650850,9
934,Question...?,Taylor Swift,1,2022,10,21,1608,0,223064273,3
935,On BS,"Drake, 21 Savage",2,2022,11,4,1338,0,170413877,20
936,Mastermind,Taylor Swift,1,2022,10,21,1936,0,218320587,5
937,Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,0,141720999,9
939,Spin Bout U,"Drake, 21 Savage",2,2022,11,4,1652,2,198365537,52
941,"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,1715,0,177503916,5
942,Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,71095708,1
943,Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,1007,0,112436403,5
944,The Astronaut,Jin,1,2022,10,28,481,9,203436468,100
945,BackOutsideBoyz,Drake,1,2022,11,4,1045,0,93367537,5
946,Broke Boys,"Drake, 21 Savage",2,2022,11,4,1060,0,106249219,8
947,The Great War,Taylor Swift,1,2022,10,21,1274,0,181382590,6
948,My Mind & Me,Selena Gomez,1,2022,11,3,953,0,91473363,13
949,Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21,1180,0,121871870,0
950,A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,573,0,73513683,0
951,En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,1320,0,133895612,26
952,Alone,Burna Boy,1,2022,11,4,782,2,96007391,18
